job_id	partition	method	dataset	epoch	repeat	result_path	config_path
10782771	gpu-h100-nvl	UFMR	tedlium	1	2	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch1_lr1e-5_repeat2.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch1_lr1e-5_repeat2.yaml
10782772	gpu-h100	UFMR	tedlium	1	3	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch1_lr1e-5_repeat3.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch1_lr1e-5_repeat3.yaml
10782773	gpu	UFMR	tedlium	5	2	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch5_lr1e-5_repeat2.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch5_lr1e-5_repeat2.yaml
10782774	gpu-h100-nvl	UFMR	tedlium	5	3	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/tedlium_epoch5_lr1e-5_repeat3.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/tedlium_epoch5_lr1e-5_repeat3.yaml
10782775	gpu-h100	UFMR	earnings22	1	2	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch1_lr1e-5_repeat2.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch1_lr1e-5_repeat2.yaml
10782776	gpu	UFMR	earnings22	1	3	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch1_lr1e-5_repeat3.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch1_lr1e-5_repeat3.yaml
10782777	gpu-h100-nvl	UFMR	earnings22	5	2	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch5_lr1e-5_repeat2.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch5_lr1e-5_repeat2.yaml
10782778	gpu-h100	UFMR	earnings22	5	3	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/earnings22_epoch5_lr1e-5_repeat3.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/earnings22_epoch5_lr1e-5_repeat3.yaml
10782779	gpu	UFMR	rev16	1	2	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/rev16_epoch1_lr1e-5_repeat2.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/rev16_epoch1_lr1e-5_repeat2.yaml
10782780	gpu-h100-nvl	UFMR	rev16	1	3	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/rev16_epoch1_lr1e-5_repeat3.txt	/mnt/parscratch/users/acp21rjf/symphony-workspaces-learning-to-augment/ROB-337/exp/results/repro/learnt_augmentation_repeats/rob337/UFMR/configs/rev16_epoch1_lr1e-5_repeat3.yaml
